sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam2,,,,Cheescake Tarta,tartas,,0
catam2,,,,Higo,tartas,,0
catam2,,,,Imperial Tarta,tartas,,0
catam2,,,,Lemon Pie Tarta,tartas,,0
catam2,,,,Maracuya Tarta,tartas,,0
catam2,,,,Mousse,tartas,,0
catam2,,,,Rocher,tartas,,0
catam2,,,,Bomba,tortas,,0
catam2,,,,Chaja,tortas,,0
catam2,,,,Imperial,tortas,,0
catam2,,,,Maria Luisa,tortas,,0
catam2,,,,Selva Negra,tortas,,0
catam2,,,,Tropical,tortas,,0
catam2,,,,BOMBON,tortas heladas,,0
catam2,,,,CHOCOOREO,tortas heladas,,0
catam2,,,,CLASICA AM/CHOC,tortas heladas,,0
catam2,,,,CLASICA VAI/ DL,tortas heladas,,0
catam2,,,,DEL AMERICANA,tortas heladas,,0
catam2,,,,DEL DULCE D LECHE,tortas heladas,,0
catam2,,,,OMELETTE,tortas heladas,,0
catam2,,,,PRIMAVERA,tortas heladas,,0
catam2,,,,VERONA,tortas heladas,,0
catam3,,,,DIET AMERICANA,diet,,0
catam3,,,,DIET ANANA,diet,,0
catam3,,,,DIET BANANA,diet,,0
catam3,,,,DIET DULCE DE LECHE,diet,,0
catam3,,,,DIET DURAZNO,diet,,0
catam3,,,,DIET VAINILLA,diet,,0
catam3,,,,BOMBON ROCHER,helado,chocolate,0
catam3,,,,CHOCOLATE,helado,chocolate,0
catam3,,,,CHOCOLATE A LA CUBANA,helado,chocolate,0
catam3,,,,CHOCOLATE AMARGO,helado,chocolate,0
catam3,,,,CHOCOLATE BLANCO,helado,chocolate,0
catam3,,,,CHOCOLATE CON ALMENDRAS,helado,chocolate,0
catam3,,,,CHOCOLATE CON CEREZAS,helado,chocolate,0
catam3,,,,CHOCOLATE DUBAI,helado,chocolate,0
catam3,,,,CHOCOLATE SUIZO,helado,chocolate,0
catam3,,,,KINDOVO,helado,chocolate,0
catam3,,,,MARROC,helado,chocolate,0
catam3,,,,ALMENDRADO,helado,crema blanca,0
catam3,,,,AMERICANA,helado,crema blanca,0
catam3,,,,ARANDANO Y CASSIS,helado,crema blanca,0
catam3,,,,BANANA SPLIT,helado,crema blanca,0
catam3,,,,BANANINA,helado,crema blanca,0
catam3,,,,BISCUIT,helado,crema blanca,0
catam3,,,,CAYOTE CON NUEZ,helado,crema blanca,0
catam3,,,,CEREZA,helado,crema blanca,0
catam3,,,,COCOLECHE,helado,crema blanca,0
catam3,,,,CREMA DE CAFE,helado,crema blanca,0
catam3,,,,CREMA DE HIGO CON NUEZ,helado,crema blanca,0
catam3,,,,CREMA DEL CIELO,helado,crema blanca,0
catam3,,,,CREMA RUSA,helado,crema blanca,0
catam3,,,,DELICIA TELLO,helado,crema blanca,0
catam3,,,,FRUTILLA A LA CREMA,helado,crema blanca,0
catam3,,,,FRUTOS DEL BOSQUE,helado,crema blanca,0
catam3,,,,GRANIZADO,helado,crema blanca,0
catam3,,,,LEMON PIE,helado,crema blanca,0
catam3,,,,MANTECOL,helado,crema blanca,0
catam3,,,,MANZANAS AL OPORTO,helado,crema blanca,0
catam3,,,,MARACUYA,helado,crema blanca,0
catam3,,,,MENTA GRANIZADA,helado,crema blanca,0
catam3,,,,PANACOTTA,helado,crema blanca,0
catam3,,,,PISTACHO,helado,crema blanca,0
catam3,,,,SAMBAYON,helado,crema blanca,0
catam3,,,,TIRAMISU,helado,crema blanca,0
catam3,,,,TORTA BROWNIE,helado,crema blanca,0
catam3,,,,YOGUR GRIEGO,helado,crema blanca,0
catam3,,,,CREMA DON PEDRO,helado,crema vainilla,0
catam3,,,,CREMA FLAN,helado,crema vainilla,0
catam3,,,,KINOTOS AL WHISKY,helado,crema vainilla,0
catam3,,,,VAINILLA,helado,crema vainilla,0
catam3,,,,VAINILLA GRANIZADA,helado,crema vainilla,0
catam3,,,,CHOCOTORTA,helado,dulce de leche,0
catam3,,,,DOLCCINO,helado,dulce de leche,0
catam3,,,,DULCE DE LECHE,helado,dulce de leche,0
catam3,,,,DULCE DE LECHE BOMBON,helado,dulce de leche,0
catam3,,,,DULCE DE LECHE CON NUEZ,helado,dulce de leche,0
catam3,,,,DULCE DE LECHE GRANIZADO,helado,dulce de leche,0
catam3,,,,DULCE DE LECHE TENTACION,helado,dulce de leche,0
catam3,,,,ANANA,helado,frutas,0
catam3,,,,DURAZNO AL AGUA,helado,frutas,0
catam3,,,,FRUTILLA AL AGUA,helado,frutas,0
catam3,,,,LIMON,helado,frutas,0
catam3,,,,MANGO,helado,frutas,0
catam3,,,,Cheescake DL/ Oreo,minitortas,,0
catam3,,,,Dulccina,minitortas,,0
catam3,,,,Nutella,minitortas,,0
catam3,,,,Carita,paletas,,0
catam3,,,,Chancho,paletas,,0
catam3,,,,Clasica,paletas,,0
catam3,,,,Corazon,paletas,,0
catam3,,,,Cristal,paletas,,0
catam3,,,,Dona Banana Split,paletas,,0
catam3,,,,Dona flan,paletas,,0
catam3,,,,Dubai,paletas,,0
catam3,,,,Hello Kitty,paletas,,0
catam3,,,,Pata,paletas,,0
