Sucursal Monteagudo,,,,8/9/2025,,,,,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,2,1,Folex,HAY,,,,,,,,,,,,,,,,,,,,
Caja mini torta,,HAY,,Servilleta Blancas,HAY,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,,Servilleta Beige Tello ,HAY,,,,,,,,,,,,,,,,,,,,
Brownie,,1,5,Vaso c/ Logo 120cc,2,,,,,,,,,,,,,,,,,,,,
Coco,,5,1,Vaso c/ Logo 360cc,1,,1,,,,,,,,,,,,,,,,,,
Pastafrola,,6,,Vaso plast.milk shake,HAY,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,Sorbetes,HAY,,,,,,,,,,,,,,,,,,,,
Tiramissu,,1,1,,, ,,,,,,,,,,,,,,,,,,,
Brownie con frutos rojos,,2,,,,,,,,,,,,,,,,,,,,,,,
Suspiro Limeño,,,,,,,,,,,,,,,,,,,,,,,,,
MANDAR POR FAVOR ESPATULA CHATA Y PLANILLA DE STOCK ,,,,,,,,,,,,,,,,,,,,,,,,,
