Sucursal: YERBA BUENA,,,Fecha:,08/09/2025,,,, Encargado: JUANI, ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
MINI TORTAS,,,,Capuccino ,HAY,,,Yogur Vaini. ligth xLts. ,HAY, ,,,,,,,,,,,,,,,
Nutella,,3,,Aguas ,13,, ,Miel,HAY, ,,,,,,,,,,,,,,,
Dulccina,,3,,Aguas saborizadas,12,,,Granola,HAY, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,2,1,Gaseosas ,19,,,Sandwich de j y q,1 BAND 3UNID,,,,,,,,,,,,,,,,
Caja mini torta ,,HAY,,,,,,Sandiwch de t y q,4 BAND 3UNID, ,,,,,,,,,,,,,,,
Frappes:polvo capuccino,,HAY,,,,,,, , ,,,,,,,,,,,,,,,
Vaso frappe,,HAY,,DESCARTABLES:,,,  ,Utiles:, , ,,,,,,,,,,,,,,,
leche entera,,4,,Vaso de cafe chico 180 cc,HAY,, ,Lapiceras,HAY,,,,,,,,,,,,,,,,
CUADRADOS:,,,,Vaso de cafe grande 240 cc,HAY,, ,Felpón,,MANDAR,,,,,,,,,,,,,,,
Brownie,,4,,Removedor de cafe,HAY,,,Broches n°21/6,HAY,,,,,,,,,,,,,,,,
Coco,,3,1,Porta vaso de cafe,HAY,,,Liquido corrector ,HAY, ,,,,,,,,,,,,,,,
Pastafrola,,4,,Bandeja telgopor ,HAY,,,Remito devolucion mercaderia,HAY, ,,,,,,,,,,,,,,,
POSTRE ENVASADO:,,,,Recipiente p/ dulce,HAY,,,Sobres,,MANDAR,,,,,,,,,,,,,,,
Tiramisu,,2,,,,, ,Gomillas,,MANDAR,,,,,,,,,,,,,,,
Brownie con frutos rojos,,2,,,,,,Cinta transparente,5,,,,,,,,,,,,,,,,
Suspiro limeño,,,,,,,,,,,,,,,,,,,,,,,,,
"MANDAR TODAS LAS PLANILLAS, SOBRES, HARPIC Y GLEIM, MANDAR WHISKY MANDAR CAMBIO",,,,,,,,,,,,,,,,,,,,,,,,,
, ,  ,,,  ,, ,,,,,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,, ,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
